"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","id"
"Justin Herbert","111","127.7","0.13","141","LAC","QB","13","","37bd88b0-b695-4a09-a0e9-fc29f6c14dfd"
"Justin Fields","112","109","-0.03","148","NYJ","QB","14","","69a1328c-ef69-41a4-a9c6-9ef0f96179f0"
"Drake Maye","113","111.5","-0.01","262","NE","QB","15","","1fd437b3-ec8a-40ff-af9b-bdeb9e195111"
"Jared Goff","114","120","0.05","68","DET","QB","16","","a889c484-29f2-47ac-805b-49691067644b"
"Dalton Kincaid","115","131.7","0.13","258","BUF","TE","12","","8e3162f9-5b76-46e8-b189-777db6212f8b"
"Rhamondre Stevenson","116","127.2","0.09","61","NE","RB","36","","9a1d9082-34b9-40f4-8e3c-330caa3fa989"
"Rashod Bateman","117","115.1","-0.02","91","BAL","WR","53","","a539369c-22ad-4d91-b5b9-a616d39018b8"
"Marvin Mims Jr.","118","118.6","0.01","107","DEN","WR","54","","e7384056-0c8d-48b5-8ece-43a68ad9d200"
"Christian Kirk","119","117.1","-0.02","151","HOU","WR","55","","e35cb821-a7ae-41d8-a7c1-3fb43082b786"
"Jordan Love","120","128.7","0.07","173","GB","QB","17","","86d70c50-1438-435a-be56-17fc097d2763"
"David Njoku","121","119.8","-0.01","75","CLE","TE","13","","96103fd4-acc7-4dba-adcf-ae140cf7d983"
"Brandon Aiyuk","122","126.1","0.03","157","SF","WR","56","Torn ACL + MCL","7eba46a1-1484-4352-b7f8-480163694c25"
"Jayden Higgins","123","92.4","-0.33","","HOU","WR","57","Rookie","6f51ed2b-b312-4ac8-a02b-f791528ab5eb"
"Chris Godwin","124","100","-0.24","13","TB","WR","58","Dislocated ankle","d0d1514c-26e3-405f-84de-8072bc2b0fa7"
"Jacory Croskey-Merritt","125","107.1","-0.17","","WAS","RB","37","Rookie","f47f5778-3c4d-4320-a4f9-cb57a229024a"
"Braelon Allen","126","132.5","0.05","217","NYJ","RB","38","","84f0a2d4-81a1-424b-a516-172e02cd82e3"
"Ray Davis","127","138.6","0.08","146","BUF","RB","39","","216c2a61-381c-4520-a163-a8af32943fb9"
"Javonte Williams","128","131.5","0.03","130","DAL","RB","40","","af512904-a1c9-4f40-ac9b-3f04329bc6b8"
"Austin Ekeler","129","141.2","0.09","115","WAS","RB","41","","566b0f64-6a4f-4882-aa36-99d15ce990f5"
"Bhayshul Tuten","130","130","0","","JAX","RB","42","Rookie","ae822ce4-b4ff-4b53-bf83-be036fe15dd2"
"Tank Bigsby","131","122.9","-0.07","95","JAX","RB","43","","91edd6d6-bd65-4571-8713-41fc3cd2eb92"
"C.J. Stroud","132","133.6","0.01","269","HOU","QB","18","","d97eb184-b572-477a-98c8-e918a0bf1c66"
"Trevor Lawrence","133","130.3","-0.02","206","JAX","QB","19","","01b46905-02f2-4016-a320-7cc36b5d1afc"
"Dallas Goedert","134","141.4","0.05","123","PHI","TE","14","","315ad6ba-764f-4118-9deb-03720308a0c2"
"Jake Ferguson","135","136.4","0.01","228","DAL","TE","15","","5336c84a-59d1-4502-b26c-a9a7a5683195"
"Dameon Pierce","136","212.1","0.36","","HOU","RB","44","","75ed17a8-5d4f-4007-957b-0a6733ddf392"
"Tyler Allgeier","137","155.9","0.12","212","ATL","RB","45","","00403734-5e69-424c-974e-ceefbc335618"
"Brian Robinson Jr.","138","117.6","-0.17","72","SF","RB","46","","d163492c-f926-4cb9-96fc-b93759e92541"
"Will Shipley","139","173","0.2","193","PHI","RB","47","","f69a3a63-744a-4568-a158-b69f0d5e4eb6"
"Luther Burden","140","113.1","-0.24","","CHI","WR","59","Rookie","9df8f9e8-d362-46e0-be35-502442b747e6"
"Cedric Tillman","141","153.4","0.08","93","CLE","WR","60","","be28ffd2-9c10-44fd-937a-0dd5fa9f22c9"
"Romeo Doubs","142","151.3","0.06","137","GB","WR","61","","c27b2fd7-45a7-409c-9973-3346fd3062fc"
"Darius Slayton","143","191.4","0.25","167","NYG","WR","62","","bdecac5a-bd13-4a2c-94c8-4ff12c29d50a"
"Hollywood Brown","144","145.1","0.01","","KC","WR","63","","27c2ab08-d88c-427a-b0d3-cf0ba47af2f7"
"Kyle Pitts","145","138.7","-0.05","152","ATL","TE","16","Trade Candidate","baf94a12-0921-4655-9b10-12b59b77c57c"
"Chig Okonkwo","146","166","0.12","221","TEN","TE","17","","2a65964a-1345-435e-998e-ee29adf6d251"
"Xavier Legette","147","164.5","0.11","179","CAR","WR","64","","a18e7872-b3df-4c74-8130-feb720a928c1"
"Jalen Coker","148","190.2","0.22","138","CAR","WR","65","","c9e2cfc7-8db1-49ab-944b-61108f687aca"
"Bryce Young","149","151.3","0.02","117","CAR","QB","20","","04c979d6-83b7-40dc-83fc-ed4db79ce5f9"
"J.J. McCarthy","150","125.2","-0.2","","MIN","QB","21","","78a6939e-5faf-45ed-98f2-674a84e65045"
"Joshua Palmer","151","136.1","-0.11","244","BUF","WR","66","","6dc7832f-45d2-4ae6-8c6a-3595e185a18e"
"Adam Thielen","152","171.8","0.12","59","MIN","WR","67","","1cc825d2-4975-4afe-a47d-b69f0e57cbc1"
"Kyle Williams","153","150.8","-0.01","","NE","WR","68","Rookie","d1bb13ec-b37e-420c-b9f5-e76698cb6b2b"
"Demario Douglas","154","147.9","-0.04","170","NE","WR","69","","63cbde87-5fd3-410c-9c64-2185510182ef"
"Rico Dowdle","155","177.5","0.13","65","CAR","RB","48","","a07ec2e7-a9ff-4797-8b81-e97de03a6a51"
"Nick Chubb","156","159.1","0.02","","HOU","RB","49","","6958938f-e1b1-4a04-9277-0d13ce07df21"
"Tyjae Spears","157","158.1","0.01","101","TEN","RB","50","","76809c5a-f06d-479a-a218-f22ee3e13a83"
"Trey Benson","158","138.7","-0.14","248","ARI","RB","51","","9ee85b14-7fae-4772-b58f-fa2922f230ef"
"Michael Penix","159","142.9","-0.11","","ATL","QB","22","","a6b061d0-7d58-45b0-8539-c0dd60cb26f9"
